date,day_of_week,month,is_weekday,file_count_AM_actual,file_count_PM_actual,total_records_AM_actual,total_records_PM_actual,file_count_AM_predicted,file_count_PM_predicted,total_records_AM_predicted,total_records_PM_predicted
2020-06-23,1,6,1,1.0,6.0,1451427.0,14405672.0,3.213339505622283,7.026978237057725,6309583.05233924,15664116.76420496
2020-06-24,2,6,1,1.0,1.0,2192787.0,6887.0,1.9662046754794538,1.0,3008799.5860978235,651414.8350895437
2020-06-25,3,6,1,1.0,1.0,53782.0,142658.0,1.096313425308906,1.44510593389384,703142.7058661443,1305016.7455684873
2020-06-26,4,6,1,1.0,1.0,1387287.0,1390392.0,1.0,1.1440482724649954,903739.8100982893,892774.0581852255
2020-06-27,5,6,0,1.0,1.0,672251.0,873126.0,1.29851976885854,1.0,1218070.942397926,873126.0
2020-06-29,0,6,1,1.0,4.0,1861633.0,7164040.0,2.949084214509323,2.3100964242545916,6544069.544745941,4384902.645056967
2020-06-30,1,6,1,2.0,6.0,349958.0,13112623.0,3.213339505622283,7.026978237057725,6309583.05233924,15664116.76420496
2020-07-01,2,7,1,1.0,1.0,1621436.0,251692.0,1.9759603448546832,1.2201819405056502,3144504.1156112165,1026201.7014472245
2020-07-02,3,7,1,1.0,1.0,65832.0,32912.0,1.7460396535499783,1.4030840886918243,2394632.1249220995,1216808.2233284495
2020-07-03,4,7,1,1.0,1.0,1588204.0,2487.0,1.0434754066955694,1.0,675789.1776757389,518685.03559126763
2020-07-04,5,7,0,1.0,1.0,177738.0,873126.0,1.0,1.0,455870.05375617027,847096.0498960025
2020-07-06,0,7,1,5.0,5.0,12170518.0,13474886.0,2.941908614877398,2.697862356657223,6504982.561135402,5372096.345546983
2020-07-07,1,7,1,1.0,6.0,2534387.0,13202569.0,3.4709806589439136,6.277942543861238,7463354.195156625,13696894.118709812
2020-07-08,2,7,1,1.0,1.0,1843636.0,326560.0,1.9759603448546832,1.2201819405056502,3144504.1156112165,1026201.7014472245
2020-07-09,3,7,1,1.0,1.0,1262679.0,309904.0,1.7460396535499783,1.4030840886918243,2394632.1249220995,1216808.2233284495
